epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
62,1553.44,0.56995,0.44881,0.87544,0.9675,0.88989,0.94956,0.82486,0.64384,0.36216,0.86874,0.000220232,0.000220232,0.000220232
63,1577.95,0.56,0.43372,0.86838,0.97366,0.9086,0.93757,0.81696,0.63378,0.36845,0.86581,0.000214727,0.000214727,0.000214727
64,1602.94,0.55502,0.44601,0.87396,0.97056,0.91519,0.94509,0.82526,0.62471,0.34406,0.86842,0.000209223,0.000209223,0.000209223
65,1627.47,0.55631,0.43158,0.87186,0.96805,0.92242,0.9577,0.8308,0.6245,0.34101,0.87032,0.000203718,0.000203718,0.000203718
66,1652.2,0.5449,0.42471,0.86729,0.96443,0.91638,0.95183,0.82659,0.62677,0.34678,0.8657,0.000198214,0.000198214,0.000198214
67,1676.74,0.5462,0.43602,0.86756,0.94532,0.94359,0.96362,0.83619,0.60732,0.31607,0.85811,0.00019271,0.00019271,0.00019271
68,1701.5,0.53813,0.41502,0.86359,0.9366,0.93184,0.95296,0.8372,0.60321,0.32768,0.85755,0.000187205,0.000187205,0.000187205
69,1726.2,0.52877,0.41357,0.86419,0.96532,0.93527,0.96649,0.84215,0.61543,0.33109,0.86107,0.000181701,0.000181701,0.000181701
70,1751.02,0.53559,0.40344,0.86405,0.96064,0.93738,0.96664,0.84585,0.6121,0.3339,0.86109,0.000176196,0.000176196,0.000176196
71,1775.95,0.5308,0.40863,0.86316,0.93373,0.95625,0.96086,0.84402,0.60618,0.323,0.85937,0.000170692,0.000170692,0.000170692
72,1800.65,0.51645,0.40782,0.86093,0.97132,0.94842,0.96433,0.85029,0.60932,0.33343,0.86315,0.000165188,0.000165188,0.000165188
73,1825.38,0.51694,0.39463,0.85871,0.96987,0.94878,0.96593,0.85264,0.59304,0.32533,0.85376,0.000159683,0.000159683,0.000159683
74,1850.01,0.50158,0.38203,0.85023,0.96019,0.94699,0.96739,0.85023,0.59759,0.31255,0.85496,0.000154179,0.000154179,0.000154179
75,1874.43,0.50652,0.39125,0.85784,0.96374,0.94394,0.96727,0.84824,0.6067,0.31092,0.85941,0.000148674,0.000148674,0.000148674
76,1899.08,0.5007,0.38434,0.85444,0.96695,0.93999,0.96663,0.84854,0.60093,0.30403,0.85908,0.00014317,0.00014317,0.00014317
77,1923.87,0.50033,0.39053,0.85487,0.9663,0.93627,0.96033,0.85229,0.59077,0.30819,0.85493,0.000137666,0.000137666,0.000137666
78,1948.82,0.48889,0.37629,0.85464,0.97127,0.93935,0.96559,0.8602,0.59274,0.31346,0.85647,0.000132161,0.000132161,0.000132161
79,1975.45,0.48679,0.37932,0.8506,0.97246,0.92843,0.95352,0.84834,0.58667,0.30145,0.8552,0.000126657,0.000126657,0.000126657
80,2001.68,0.48444,0.37372,0.85131,0.95114,0.93258,0.95795,0.84671,0.59322,0.32115,0.85633,0.000121152,0.000121152,0.000121152
81,2025.97,0.48205,0.37014,0.85233,0.96796,0.95342,0.97424,0.85939,0.58056,0.30564,0.85294,0.000115648,0.000115648,0.000115648
82,2050.44,0.47416,0.3647,0.84911,0.98364,0.93769,0.96392,0.85096,0.58491,0.30933,0.85435,0.000110144,0.000110144,0.000110144
83,2075.05,0.46737,0.36254,0.84792,0.97216,0.93929,0.9618,0.85035,0.58769,0.31527,0.85552,0.000104639,0.000104639,0.000104639
84,2101.68,0.48052,0.35899,0.84771,0.98671,0.94751,0.97123,0.85754,0.58846,0.31041,0.85405,9.91348e-05,9.91348e-05,9.91348e-05
85,2128.31,0.4679,0.349,0.84698,0.96478,0.94326,0.97869,0.8581,0.58306,0.30564,0.85228,9.36304e-05,9.36304e-05,9.36304e-05
86,2153.01,0.45581,0.35174,0.84399,0.95799,0.9364,0.96505,0.85381,0.57136,0.30744,0.84742,8.8126e-05,8.8126e-05,8.8126e-05
87,2177.86,0.46066,0.34152,0.84583,0.96491,0.93116,0.96361,0.85326,0.57439,0.30067,0.85085,8.26216e-05,8.26216e-05,8.26216e-05
88,2202.6,0.45123,0.35104,0.84463,0.97043,0.9313,0.95946,0.84811,0.57052,0.30679,0.84818,7.71172e-05,7.71172e-05,7.71172e-05
89,2228.66,0.44467,0.34193,0.8448,0.97723,0.93576,0.95914,0.85295,0.56432,0.30397,0.84738,7.16128e-05,7.16128e-05,7.16128e-05
90,2255.44,0.45151,0.33968,0.84731,0.98388,0.93893,0.96308,0.86075,0.57662,0.30614,0.85327,6.61084e-05,6.61084e-05,6.61084e-05
91,2282.09,0.46473,0.25692,0.82717,0.97078,0.93429,0.96441,0.85845,0.57522,0.29701,0.85371,6.0604e-05,6.0604e-05,6.0604e-05
92,2307.12,0.44381,0.2465,0.82152,0.9717,0.95345,0.96946,0.85942,0.57498,0.30349,0.85041,5.50996e-05,5.50996e-05,5.50996e-05
93,2331.18,0.44114,0.24696,0.81875,0.96911,0.94235,0.97115,0.8678,0.56916,0.30277,0.84863,4.95952e-05,4.95952e-05,4.95952e-05
94,2355.49,0.42805,0.24056,0.81245,0.96623,0.93998,0.96554,0.86217,0.56235,0.28933,0.84817,4.40908e-05,4.40908e-05,4.40908e-05
95,2379.65,0.42953,0.24012,0.8126,0.96617,0.94024,0.96207,0.86052,0.55955,0.29162,0.8474,3.85864e-05,3.85864e-05,3.85864e-05
96,2403.85,0.42206,0.23398,0.81352,0.9673,0.93802,0.96922,0.86286,0.55977,0.29525,0.84653,3.3082e-05,3.3082e-05,3.3082e-05
97,2428.19,0.42124,0.23306,0.81466,0.96846,0.937,0.96357,0.85809,0.55942,0.29875,0.84657,2.75776e-05,2.75776e-05,2.75776e-05
98,2452.53,0.41898,0.23338,0.81197,0.96737,0.94908,0.9656,0.86784,0.54958,0.29583,0.84421,2.20732e-05,2.20732e-05,2.20732e-05
99,2477.26,0.41463,0.22944,0.81375,0.96948,0.94254,0.96599,0.86919,0.55024,0.29106,0.84431,1.65688e-05,1.65688e-05,1.65688e-05
100,2501.86,0.40671,0.22683,0.81221,0.96691,0.93675,0.9647,0.86653,0.5508,0.29055,0.84397,1.10644e-05,1.10644e-05,1.10644e-05
